groupNum,routersPerGroup,nodesPerRouter,utilization,application,messageSize,messageIter,traceMode,traceNum,allocation,taskmapping,scheduler,routing,alpha,expIter,time(us)
17,4,4,all,alltoall,100000,1,analyzeEmpty,32,all,all,all,adaptive,1.0,all,20751.0
17,4,4,all,alltoall,100000,1,analyzeEmpty,64,all,all,all,adaptive,1.0,all,55519.0
17,4,4,all,alltoall,100000,1,analyzeEmpty,2,all,all,all,adaptive,1.0,all,448.0
17,4,4,all,alltoall,100000,1,analyzeEmpty,128,all,all,all,adaptive,1.0,all,152188.0
17,4,4,all,alltoall,100000,1,analyzeEmpty,4,all,all,all,adaptive,1.0,all,1328.0
17,4,4,all,alltoall,100000,1,analyzeEmpty,5,all,all,all,adaptive,1.0,all,1769.0
17,4,4,all,alltoall,100000,1,analyzeEmpty,136,all,all,all,adaptive,1.0,all,165303.0
17,4,4,all,alltoall,100000,1,analyzeEmpty,8,all,all,all,adaptive,1.0,all,3511.0
17,4,4,all,alltoall,100000,1,analyzeEmpty,16,all,all,all,adaptive,1.0,all,7615.0
17,4,4,all,alltoall,100000,1,analyzeEmpty,17,all,all,all,adaptive,1.0,all,8175.0
17,4,4,all,alltoall,100000,2,analyzeEmpty,32,all,all,all,adaptive,1.0,all,
17,4,4,all,alltoall,100000,2,analyzeEmpty,64,all,all,all,adaptive,1.0,all,
17,4,4,all,alltoall,100000,2,analyzeEmpty,2,all,all,all,adaptive,1.0,all,
17,4,4,all,alltoall,100000,2,analyzeEmpty,128,all,all,all,adaptive,1.0,all,
17,4,4,all,alltoall,100000,2,analyzeEmpty,4,all,all,all,adaptive,1.0,all,
17,4,4,all,alltoall,100000,2,analyzeEmpty,5,all,all,all,adaptive,1.0,all,
17,4,4,all,alltoall,100000,2,analyzeEmpty,136,all,all,all,adaptive,1.0,all,
17,4,4,all,alltoall,100000,2,analyzeEmpty,8,all,all,all,adaptive,1.0,all,
17,4,4,all,alltoall,100000,2,analyzeEmpty,16,all,all,all,adaptive,1.0,all,
