groupNum,routersPerGroup,nodesPerRouter,utilization,application,messageSize,messageIter,traceMode,traceNum,allocation,taskmapping,scheduler,routing,alpha,expIter,time(us)
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,0,898.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,1,898.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,2,913.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,3,913.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,4,898.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,5,910.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,6,913.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,7,913.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,8,913.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,9,910.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,10,898.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,11,910.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,12,910.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,13,910.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,14,910.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,15,898.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,16,913.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,17,913.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,18,898.0
17,4,4,75,alltoall,100000,2,empty,2,random,topo,easy,adaptive,1.0,19,913.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,0,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,1,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,2,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,3,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,4,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,5,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,6,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,7,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,8,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,9,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,10,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,11,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,12,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,13,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,14,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,15,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,16,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,17,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,18,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdr,topo,easy,adaptive,1.0,19,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,0,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,1,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,2,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,3,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,4,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,5,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,6,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,7,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,8,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,9,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,10,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,11,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,12,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,13,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,14,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,15,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,16,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,17,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,18,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrdg,topo,easy,adaptive,1.0,19,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,0,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,1,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,2,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,3,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,4,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,5,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,6,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,7,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,8,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,9,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,10,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,11,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,12,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,13,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,14,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,15,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,16,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,17,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,18,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrn,topo,easy,adaptive,1.0,19,898.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,0,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,1,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,2,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,3,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,4,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,5,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,6,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,7,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,8,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,9,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,10,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,11,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,12,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,13,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,14,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,15,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,16,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,17,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,18,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyrrr,topo,easy,adaptive,1.0,19,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,0,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,1,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,2,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,3,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,4,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,5,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,6,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,7,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,8,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,9,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,10,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,11,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,12,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,13,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,14,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,15,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,16,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,17,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,18,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,19,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,0,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,1,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,2,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,3,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,4,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,5,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,6,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,7,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,8,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,9,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,10,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,11,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,12,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,13,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,14,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,15,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,16,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,17,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,18,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,19,895.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,0,232541.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,1,231007.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,2,240918.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,3,224078.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,4,226851.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,5,216480.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,6,230553.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,7,220668.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,8,224828.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,9,222357.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,10,210300.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,11,223112.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,12,214044.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,13,224279.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,14,210145.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,15,221162.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,16,216901.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,17,236370.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,18,217113.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,19,244451.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,0,313468.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,1,287841.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,2,326274.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,3,308446.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,4,276679.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,5,298219.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,6,294317.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,7,325757.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,8,284831.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,9,338940.0
