groupNum,routersPerGroup,nodesPerRouter,utilization,application,messageSize,messageIter,traceMode,traceNum,allocation,taskmapping,scheduler,routing,alpha,expIter,Avg.Norm.Latency
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,0,7.29297842042
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,1,6.72235732282
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,2,6.72877642677
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,3,5.89256216453
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,4,6.17870522511
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,5,5.57046774017
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,6,5.94032205061
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,7,6.61099791872
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,8,5.84778179428
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,9,5.5450104064
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,10,6.08853105488
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,11,5.8260817176
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,12,6.12026508928
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,13,6.27880381203
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,14,6.26009420528
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,15,6.3175375178
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,16,6.81790995728
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,17,6.05195530726
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,18,7.10972724285
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.25,19,5.65558111513
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,0,3.23331142513
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,1,3.17854091357
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,2,3.24678497097
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,3,3.02384708073
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,4,2.986723628
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,5,2.89828020594
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,6,3.19742578596
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,7,2.93447255997
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,8,3.12846971191
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,9,3.34231569723
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,10,3.09853215029
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,11,3.41792091138
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,12,3.03666338044
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,13,3.21397743455
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,14,3.31876437726
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,15,3.2587906671
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,16,3.20577281192
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,17,3.46765253587
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,18,3.39657136598
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,0.5,19,3.1217877095
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,0,2.30391061453
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,1,2.85860444737
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,2,2.70375725709
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,3,2.43044145032
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,4,2.51178661409
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,5,2.44435316026
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,6,2.61732938986
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,7,2.25598641691
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,8,2.38975791434
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,9,2.47493701391
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,10,2.42348559536
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,11,2.48132325556
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,12,2.14709168584
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,13,2.37548471903
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,14,2.33193120824
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,15,2.43623617045
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,16,2.52921459086
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,17,2.41577390733
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,18,2.4180085442
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,1.0,19,2.2398072078
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,0,2.38085222916
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,1,2.30162120714
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,2,2.4696790448
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,3,2.06369810494
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,4,2.21975024647
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,5,2.32111950926
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,6,2.24717931865
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,7,2.23515171432
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,8,2.19281410888
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,9,2.18204622631
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,10,2.32536970095
17,4,4,75,alltoall,100000,2,corner,1,random,topo,easy,adaptive,2.0,11,2.36562602695
